component_id	size	num_edges	n_species	species_entropy	species_entropy_norm	high_z_frac	max_z	top10_mean_z
1432	6	8	3	1.098612	1.000000	0.000000	-0.751913	-0.760175
1433	6	10	3	1.098612	1.000000	0.000000	-0.581502	-0.681860
1434	6	12	3	1.098612	1.000000	0.000000	0.182311	-0.403697
1435	6	8	3	1.098612	1.000000	0.000000	0.240134	-0.448783
1436	6	8	3	1.098612	1.000000	0.000000	-0.787209	-0.852726
1437	6	12	3	1.098612	1.000000	0.000000	1.393320	0.399236
1438	6	8	3	1.098612	1.000000	0.000000	2.663830	1.163746
1439	6	12	3	1.098612	1.000000	0.000000	2.663830	1.922671
1440	6	6	3	1.098612	1.000000	0.000000	0.574119	-0.059268
1441	6	9	3	1.098612	1.000000	0.000000	-0.509729	-0.699154
1442	6	12	3	1.098612	1.000000	0.000000	1.307859	0.609268
1443	6	8	3	1.098612	1.000000	0.000000	-0.078931	-0.298140
1444	6	8	3	1.098612	1.000000	0.000000	-0.891663	-0.921342
1445	6	8	3	1.098612	1.000000	0.000000	-0.578375	-0.712903
1446	6	8	3	1.098612	1.000000	0.000000	0.791300	-0.096400
1447	6	8	3	1.098612	1.000000	0.000000	-0.712860	-0.712860
1448	6	12	3	1.098612	1.000000	0.000000	0.631410	0.185435
1449	6	12	3	1.098612	1.000000	0.000000	-0.015482	-0.154104
1450	6	12	3	1.098612	1.000000	0.000000	-0.538665	-0.731698
1451	6	8	3	1.098612	1.000000	0.000000	0.389250	-0.192994
1452	6	12	3	1.098612	1.000000	0.000000	0.304440	-0.043655
1453	6	8	3	1.098612	1.000000	0.000000	0.049229	-0.286673
1454	6	8	3	1.098612	1.000000	0.000000	2.663830	1.126111
1455	6	6	3	1.098612	1.000000	0.000000	-0.095693	-0.329020
1456	6	10	3	1.098612	1.000000	0.000000	0.081147	-0.359803
1457	6	12	3	1.098612	1.000000	0.000000	-0.048804	-0.214263
1458	6	12	3	1.098612	1.000000	0.000000	0.301068	-0.164372
1459	6	8	3	1.098612	1.000000	0.000000	1.354660	0.177174
1460	6	8	3	1.098612	1.000000	0.000000	1.202906	0.375448
1461	6	12	3	1.098612	1.000000	0.000000	2.663830	1.466486
1462	6	8	3	1.098612	1.000000	0.000000	-0.572585	-0.723116
1463	6	8	3	1.098612	1.000000	0.000000	-0.455230	-0.528515
1464	6	8	3	1.098612	1.000000	0.000000	-0.705717	-0.793317
1465	6	12	3	1.098612	1.000000	0.000000	1.544400	1.027686
1466	6	8	3	1.098612	1.000000	0.000000	-0.476675	-0.729747
1467	6	11	3	1.098612	1.000000	0.000000	1.318547	-0.084287
1468	6	8	3	1.098612	1.000000	0.000000	-0.094731	-0.431459
1469	6	8	4	1.329661	0.959148	0.000000	0.000000	-0.494113
1470	6	8	3	1.098612	1.000000	0.000000	-0.707886	-0.772861
1471	6	12	3	1.098612	1.000000	0.000000	0.015808	-0.248504
1472	6	12	3	1.098612	1.000000	0.000000	2.117713	0.974667
1473	6	12	3	1.098612	1.000000	0.000000	0.226118	-0.234752
1474	6	8	3	1.098612	1.000000	0.000000	0.000000	-0.527108
1475	6	8	3	1.098612	1.000000	0.000000	0.353894	-0.273332
1476	6	8	3	1.098612	1.000000	0.000000	-0.758414	-0.758414
1477	6	8	3	1.098612	1.000000	0.000000	1.482715	0.738907
1478	6	6	3	1.098612	1.000000	0.000000	-0.034573	-0.417456
1479	6	8	3	1.098612	1.000000	0.000000	0.849677	0.432131
1480	6	8	3	1.098612	1.000000	0.000000	0.006803	-0.006610
1481	6	8	3	1.098612	1.000000	0.000000	0.642773	0.043665
1482	6	8	3	1.098612	1.000000	0.000000	0.780009	0.025659
1483	6	8	3	1.098612	1.000000	0.000000	0.558144	-0.354445
1484	6	12	3	1.098612	1.000000	0.000000	-0.042608	-0.194880
1485	6	8	3	1.098612	1.000000	0.000000	-0.351703	-0.351703
1486	6	8	3	1.098612	1.000000	0.000000	-0.132909	-0.301296
1487	6	6	3	1.098612	1.000000	0.000000	-0.464414	-0.604568
1488	6	8	3	1.098612	1.000000	0.000000	-0.483972	-0.483972
1489	6	12	3	1.098612	1.000000	0.000000	0.502088	0.292114
1490	6	12	3	1.098612	1.000000	0.333333	3.599088	1.096830
1491	6	8	3	1.098612	1.000000	0.000000	-0.311787	-0.495409
1492	6	8	3	1.098612	1.000000	0.000000	-0.021934	-0.528295
1493	6	8	3	1.098612	1.000000	0.000000	-0.595760	-0.633922
1494	6	8	3	1.098612	1.000000	0.000000	-0.767679	-0.826022
1495	6	8	3	1.098612	1.000000	0.000000	0.306353	0.065000
1496	6	8	3	1.098612	1.000000			
1497	6	8	3	1.098612	1.000000	0.000000	0.055896	-0.335821
1498	6	12	3	1.098612	1.000000	0.000000	0.668578	-0.232126
1499	6	7	3	1.098612	1.000000	0.000000	0.303596	0.036820
1500	6	8	3	1.098612	1.000000	0.000000	0.465031	-0.114003
1501	6	8	3	1.098612	1.000000	0.000000	-0.831924	-0.831924
1502	6	12	3	1.098612	1.000000	0.000000	1.290591	0.224458
1503	6	8	3	1.098612	1.000000	0.500000	4.454163	2.098446
1504	6	12	3	1.098612	1.000000	0.000000	-0.811443	-0.960516
1505	6	6	3	1.098612	1.000000	0.000000	1.142344	0.171073
1506	6	8	3	1.098612	1.000000	0.000000	-0.022663	-0.037505
1507	6	12	3	1.098612	1.000000	0.000000	-0.048614	-0.286550
1508	6	12	3	1.098612	1.000000	0.000000	2.861176	1.870842
1509	6	12	3	1.098612	1.000000	0.000000	1.037930	0.524915
1510	6	12	3	1.098612	1.000000	0.000000	-0.107566	-0.306810
1511	6	12	3	1.098612	1.000000	0.000000	2.670770	0.601439
1512	6	8	3	1.098612	1.000000			
1513	6	8	3	1.098612	1.000000	0.000000	0.387690	-0.226067
1514	6	8	3	1.098612	1.000000	0.000000	-0.788438	-0.871449
1515	6	12	3	1.098612	1.000000	0.000000	1.230967	0.421741
1516	6	8	3	1.098612	1.000000	0.000000	-0.531590	-0.722591
1517	6	12	3	1.098612	1.000000	0.000000	0.749330	0.003955
1518	6	8	3	1.098612	1.000000	0.000000	-0.672212	-0.677452
1519	6	8	3	1.098612	1.000000	0.000000	0.648618	0.505530
1520	6	8	3	1.098612	1.000000	0.000000	-0.812793	-0.870623
1521	6	12	3	1.098612	1.000000	0.000000	-0.049919	-0.270444
1522	6	8	3	1.098612	1.000000	0.000000	-0.367297	-0.458923
1523	6	8	3	1.098612	1.000000	0.000000	-0.437049	-0.511261
1524	6	12	3	1.098612	1.000000	0.333333	4.158083	2.139340
1525	6	8	3	1.098612	1.000000	0.000000	1.991347	0.951010
1526	6	12	3	1.098612	1.000000	0.000000	-0.339740	-0.627364
1527	6	6	3	1.098612	1.000000	0.000000	-0.347242	-0.486238
1528	6	8	3	1.098612	1.000000	0.000000	1.344263	0.158778
1529	6	12	3	1.098612	1.000000	0.000000	1.053366	1.010654
1530	6	8	3	1.098612	1.000000	0.000000	0.749085	0.550250
1531	6	8	3	1.098612	1.000000	0.000000	-0.774538	-0.815816
1532	6	8	3	1.098612	1.000000			
1533	6	8	3	1.098612	1.000000	0.000000	0.106923	-0.281722
1534	6	8	3	1.098612	1.000000	0.000000	-0.779186	-0.966371
1535	6	8	3	1.098612	1.000000	0.000000	0.714941	-0.019240
1536	6	8	3	1.098612	1.000000	0.000000	-0.335005	-0.469728
1537	6	12	3	1.098612	1.000000	0.000000	0.829961	0.393296
1538	6	8	3	1.098612	1.000000	0.000000	-0.560082	-0.649734
1539	6	8	3	1.098612	1.000000	0.000000	-0.704025	-0.814430
1540	6	12	3	1.098612	1.000000	0.000000	1.822359	0.604804
1541	6	8	3	1.098612	1.000000			
1542	6	12	3	1.098612	1.000000	0.000000	-0.610664	-0.672972
1543	6	8	3	1.098612	1.000000	0.000000	0.287917	0.220954
1544	6	8	3	1.098612	1.000000	0.000000	0.254415	0.075842
1545	6	8	3	1.098612	1.000000	0.000000	-0.298577	-0.557385
1546	6	12	3	1.098612	1.000000	0.000000	-0.512269	-0.604650
1547	6	12	3	1.098612	1.000000	0.000000	1.347032	0.854862
1548	6	8	3	1.098612	1.000000	0.000000	-0.362807	-0.759516
1549	6	8	3	1.098612	1.000000	0.000000	0.326252	-0.034320
1550	6	8	3	1.098612	1.000000	0.000000	0.650923	-0.112138
1551	6	11	4	1.329661	0.959148	0.272727	6.065758	2.578986
1552	6	8	3	1.098612	1.000000	0.000000	0.548081	0.311576
1553	6	8	3	1.098612	1.000000	0.000000	-0.076345	-0.542036
1554	6	8	3	1.098612	1.000000	0.000000	-0.271890	-0.581354
1555	6	8	3	1.098612	1.000000	0.000000	-0.634390	-0.687943
1556	6	10	3	1.098612	1.000000	0.000000	2.302234	0.557883
1557	6	8	3	1.098612	1.000000	0.000000	-0.005808	-0.075159
1558	6	8	3	1.098612	1.000000	0.000000	-0.663566	-0.762923
1559	6	12	3	1.098612	1.000000	0.000000	1.044932	0.281795
1560	6	8	3	1.098612	1.000000	0.000000	-0.652433	-0.742396
1561	6	8	3	1.098612	1.000000	0.000000	-0.638096	-0.726543
1562	6	8	3	1.098612	1.000000	0.000000	0.151299	-0.261700
1563	6	8	3	1.098612	1.000000	0.000000	0.117882	-0.269769
1564	6	8	3	1.098612	1.000000	0.000000	0.521978	0.113164
1565	6	10	3	1.098612	1.000000	0.000000	-0.111561	-0.604213
1566	6	8	3	1.098612	1.000000	0.000000	-0.513905	-0.715355
1567	6	7	3	1.098612	1.000000	0.000000	0.115907	-0.339355
1568	6	8	3	1.098612	1.000000	0.000000	1.045149	0.311613
1569	6	12	3	1.098612	1.000000	0.000000	0.998203	0.182048
1570	6	8	3	1.098612	1.000000	0.000000	0.252811	-0.198621
1571	6	8	3	1.098612	1.000000	0.000000	-0.358116	-0.645032
1572	6	8	3	1.098612	1.000000	0.000000	-0.496850	-0.678162
1573	6	8	3	1.098612	1.000000	0.000000	0.717897	0.098960
1574	6	8	3	1.098612	1.000000	0.000000	-0.364040	-0.408099
1575	6	12	3	1.098612	1.000000	0.000000	1.122601	0.333893
1576	6	12	3	1.098612	1.000000	0.333333	3.180263	1.652739
1577	6	13	4	1.329661	0.959148	0.000000	0.814658	0.266751
1578	6	12	3	1.098612	1.000000	0.000000	1.165549	0.614300
1579	6	8	3	1.098612	1.000000	0.000000	2.602561	1.133084
1580	6	12	3	1.098612	1.000000	0.000000	1.846908	1.441742
1581	6	12	3	1.098612	1.000000	0.000000	-0.183946	-0.420657
1582	6	12	3	1.098612	1.000000	0.000000	0.178262	-0.129102
1583	6	8	3	1.098612	1.000000	0.000000	0.042653	-0.256226
1584	6	8	3	1.098612	1.000000	0.000000	-0.518689	-0.548498
1585	6	12	3	1.098612	1.000000	0.333333	4.976207	3.013767
