species_binomial	organism_name	assembly_accession	taxid	species_taxid	assembly_level	version_status	refseq_category	ftp_path	protein_faa_url
Campylobacter jejuni	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	GCF_000009085.1	192222	197	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1/GCF_000009085.1_ASM908v1_protein.faa.gz
Campylobacter jejuni	Campylobacter jejuni RM1221	GCF_000011865.1	195099	197	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/865/GCF_000011865.1_ASM1186v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/865/GCF_000011865.1_ASM1186v1/GCF_000011865.1_ASM1186v1_protein.faa.gz
Capnocytophaga canimorsus	Capnocytophaga canimorsus Cc5	GCF_000220625.1	860228	28188	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/625/GCF_000220625.1_ASM22062v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/625/GCF_000220625.1_ASM22062v1/GCF_000220625.1_ASM22062v1_protein.faa.gz
Capnocytophaga canimorsus	Capnocytophaga canimorsus	GCF_002302565.1	28188	28188	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/302/565/GCF_002302565.1_ASM230256v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/302/565/GCF_002302565.1_ASM230256v1/GCF_002302565.1_ASM230256v1_protein.faa.gz
Chlamydia pneumoniae	Chlamydia pneumoniae TW-183	GCF_000007205.1	182082	83558	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/205/GCF_000007205.1_ASM720v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/205/GCF_000007205.1_ASM720v1/GCF_000007205.1_ASM720v1_protein.faa.gz
Chlamydia pneumoniae	Chlamydia pneumoniae CWL029	GCF_000008745.1	115713	83558	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/745/GCF_000008745.1_ASM874v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/745/GCF_000008745.1_ASM874v1/GCF_000008745.1_ASM874v1_protein.faa.gz
Chlamydia trachomatis	Chlamydia trachomatis D/UW-3/CX	GCF_000008725.1	272561	813	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1/GCF_000008725.1_ASM872v1_protein.faa.gz
Chlamydia trachomatis	Chlamydia trachomatis A/HAR-13	GCF_000012125.1	315277	813	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/125/GCF_000012125.1_ASM1212v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/125/GCF_000012125.1_ASM1212v1/GCF_000012125.1_ASM1212v1_protein.faa.gz
Clostridium botulinum	Clostridium botulinum A str. ATCC 19397	GCF_000017025.1	441770	1491	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/025/GCF_000017025.1_ASM1702v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/025/GCF_000017025.1_ASM1702v1/GCF_000017025.1_ASM1702v1_protein.faa.gz
Clostridium botulinum	Clostridium botulinum A str. ATCC 3502	GCF_000063585.1	413999	1491	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/585/GCF_000063585.1_ASM6358v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/585/GCF_000063585.1_ASM6358v1/GCF_000063585.1_ASM6358v1_protein.faa.gz
